==06:00:06==,,,
編號,站名,往蘆洲迴龍,往南勢角
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,----,----
O04,頂溪,----,----
O05,古亭,----,----
O06,東門,----,111111
O07,忠孝新生,----,----
O08,松江南京,----,----
O09,行天宮,----,----
O10,中山國小,----,----
O11,民權西路,----,----
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,----
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,----
==07:00:05==,,,
O01,南勢角,111111,----
O02,景安,----,----
O03,永安市場,112111,111111
O04,頂溪,112211,111111
O05,古亭,122221,111111
O06,東門,----,----
O07,忠孝新生,111111,111111
O08,松江南京,----,111221
O09,行天宮,111111,----
O10,中山國小,----,----
O11,民權西路,----,222222
O12,大橋頭,121111,222222
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,111111,----
O17,頭前庄,----,122221
O18,新莊,----,----
O19,輔大,----,122121
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,222222
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,121111
==08:14:55==,,,
O01,南勢角,111111,----
O02,景安,112222,111111
O03,永安市場,233332,----
O04,頂溪,334433,111111
O05,古亭,343343,111111
O06,東門,233222,111111
O07,忠孝新生,222232,122222
O08,松江南京,----,----
O09,行天宮,121111,----
O10,中山國小,111111,343443
O11,民權西路,----,----
O12,大橋頭,----,444444
---往迴龍---,,,
O13,台北橋,122111,444444
O14,菜寮,----,----
O15,三重,121111,----
O16,先嗇宮,----,333333
O17,頭前庄,----,----
O18,新莊,----,222232
O19,輔大,111111,----
O20,丹鳳,111111,122222
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,444444
O51,三和國中,111111,343333
O52,徐匯中學,----,----
O53,三民高中,111111,222222
O54,蘆洲,----,----
==10:08:27==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,122221,111111
O05,古亭,----,111111
O06,東門,122111,----
O07,忠孝新生,221121,111121
O08,松江南京,----,111221
O09,行天宮,----,----
O10,中山國小,111111,----
O11,民權西路,----,122221
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,122222
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,111111,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,----
O52,徐匯中學,----,121111
O53,三民高中,----,----
O54,蘆洲,----,111111
==16:00:06==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,111111
O05,古亭,111111,----
O06,東門,----,111111
O07,忠孝新生,111111,111121
O08,松江南京,----,----
O09,行天宮,----,111111
O10,中山國小,221111,----
O11,民權西路,----,111111
O12,大橋頭,222211,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,122222
O17,頭前庄,111111,----
O18,新莊,----,----
O19,輔大,----,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,111111
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==16:30:27==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,111111
O04,頂溪,111111,112111
O05,古亭,----,----
O06,東門,111111,122121
O07,忠孝新生,----,111111
O08,松江南京,222111,111111
O09,行天宮,----,----
O10,中山國小,----,111111
O11,民權西路,222222,----
O12,大橋頭,----,111211
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,222111,111111
O16,先嗇宮,----,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,222222,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,111111
O54,蘆洲,----,111111
==17:00:06==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,111111,111111
O04,頂溪,111111,122221
O05,古亭,111111,122211
O06,東門,111111,212211
O07,忠孝新生,----,111111
O08,松江南京,222111,111111
O09,行天宮,222111,----
O10,中山國小,----,111111
O11,民權西路,333332,----
O12,大橋頭,----,112111
---往迴龍---,,,
O13,台北橋,222222,----
O14,菜寮,----,----
O15,三重,----,111121
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,221121,111111
O19,輔大,----,----
O20,丹鳳,----,111111
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111221,111111
O54,蘆洲,----,----
==18:00:06==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,111111,222211
O04,頂溪,111111,----
O05,古亭,111111,334322
O06,東門,122221,233322
O07,忠孝新生,----,222222
O08,松江南京,332221,----
O09,行天宮,343232,121122
O10,中山國小,----,122221
O11,民權西路,443333,----
O12,大橋頭,333343,111111
---往迴龍---,,,
O13,台北橋,----,222222
O14,菜寮,232333,----
O15,三重,----,----
O16,先嗇宮,----,122221
O17,頭前庄,222221,----
O18,新莊,----,----
O19,輔大,211111,111211
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,111111
O52,徐匯中學,222222,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==19:00:06==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,111111,232221
O04,頂溪,111111,----
O05,古亭,111111,234322
O06,東門,122111,233322
O07,忠孝新生,----,222222
O08,松江南京,343222,----
O09,行天宮,333222,121221
O10,中山國小,----,111111
O11,民權西路,443433,----
O12,大橋頭,344443,----
---往迴龍---,,,
O13,台北橋,----,111221
O14,菜寮,----,----
O15,三重,333322,----
O16,先嗇宮,----,111111
O17,頭前庄,322222,----
O18,新莊,----,111111
O19,輔大,----,----
O20,丹鳳,221121,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,333333,----
O51,三和國中,----,111111
O52,徐匯中學,----,----
O53,三民高中,222221,----
O54,蘆洲,----,111111
==20:00:05==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,122211
O05,古亭,111111,----
O06,東門,----,222222
O07,忠孝新生,221111,122112
O08,松江南京,----,----
O09,行天宮,222111,111111
O10,中山國小,----,----
O11,民權西路,222222,111111
O12,大橋頭,232221,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,221211,----
O15,三重,----,----
O16,先嗇宮,222111,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,111111,111111
O53,三民高中,----,----
O54,蘆洲,----,----
==21:00:06==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,121111
O04,頂溪,111111,----
O05,古亭,111111,122211
O06,東門,111111,122211
O07,忠孝新生,----,112111
O08,松江南京,----,----
O09,行天宮,222111,111111
O10,中山國小,----,----
O11,民權西路,222221,----
O12,大橋頭,----,111111
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,111111
O15,三重,122221,----
O16,先嗇宮,----,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,222221,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,111111
O54,蘆洲,----,111111
==22:00:07==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,111111
O04,頂溪,111111,----
O05,古亭,111111,122221
O06,東門,111111,122221
O07,忠孝新生,----,111121
O08,松江南京,222221,----
O09,行天宮,----,----
O10,中山國小,----,111111
O11,民權西路,222222,----
O12,大橋頭,232221,111111
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,111111
O15,三重,121111,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,111111
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,111111
O54,蘆洲,----,----
